"PIDN","Ca","P","pH","SOC","Sand"
"09gt9UK5",-0.59104209940352,-0.349315191371132,-1.36940782314418,-0.751782686216969,1.42958755032481
"0BVvxJ6a",0.356242525413104,0.259409519739172,0.736544768940809,0.355823781295393,-1.48616951866958
"0KbdgApg",-0.0735941545866175,-0.176429288499004,-0.194139243120322,0.106269406481197,-0.81130556066435
"0MnuuduB",-0.390517912750138,0.32498904737745,-0.137384343998035,0.615284907914534,-0.657420544206607
"0PcIsF9z",-0.478169660479074,-0.33131210983217,-1.35337812068249,0.113502101147424,-0.386685282795217
"0ShTFLYJ",-0.470452523387088,-0.214022288419443,-1.08173390571797,-0.690952927564296,0.00271072730556148
"0XZh9jka",-0.815808919493592,-0.171498455562685,-1.17883293542052,0.65452420429701,-1.06483613116247
"0Y7Wegri",-0.220912299116355,0.259300796834845,0.255039387916346,-0.234117380574007,0.413861049958477
"0dTqplIM",0.0284442827191283,-0.111245592183535,0.930332083460481,-0.409542904961006,-0.842288917578131
"0lNiZicC",-0.36963543912362,-0.222528334980521,-1.14486988864885,-0.471068279714446,-0.0815633624274423
"0rGeJ0QN",-0.27439752280691,0.396267255702206,-0.39603155899318,0.0835340028406675,-0.323487815540204
"0sXI9ytQ",-0.34987417964504,-0.0813067343380829,-0.47809475119705,-0.749262555503499,1.62305349256784
"0ukt4aP6",0.455375285546045,-0.105313568057177,1.20449730268859,-0.581658844462321,-0.0939809364691872
"1AGspb8f",-0.33783593660552,-0.31035343113029,-0.940676754356224,0.244094904205393,-1.55933904529796
"1Csy0gvE",-0.41276755470337,-0.152215100712111,-0.0273510089365396,-0.602669220606555,0.767039289295289
"1Ic2hly1",-0.386472988436984,0.319554674826739,-0.468899710526784,-0.148283689448133,0.198243049221536
"1PPbaTwt",-0.312797367396562,-0.0862131858781613,-0.540680585823495,-0.588655032770303,0.872436350582009
"1SO5VJNy",-0.320993429564695,-0.0257544841970679,0.215129710518583,-0.46329963381224,0.684904067345199
"1arHxK3Y",0.98423439332569,-0.056634045372091,1.65490193072495,0.198015598036212,-0.409134381058783
"1fCW4Bba",-0.291361102993551,-0.177862882008425,-0.167203043959249,-0.553748368578144,0.742947336755485
"1qDZNvIm",-0.40328688460325,-0.168558973965422,-0.479605565900717,-0.806607311011921,1.25346911625697
"28LYJC2V",-0.375092053835432,-0.136081422627393,-1.11997654971663,0.578549450558507,-0.752536292306615
"2CzACvQq",0.503690989511849,1.14840757269798,1.84143631785482,-0.258488567420205,-0.509512686115477
"2FT3crfv",-0.438803656235311,-0.344783191505185,0.193735766397769,-0.544218965378656,-0.562615569595964
"2Fy2uHVg",-0.583500023657286,-0.207625061938158,-0.310911208671755,-0.47405801588576,-0.42007659141544
"2MkMEApm",-0.472860946216917,-0.116420636411528,-0.107453825146634,-0.438258958141859,1.02030371120124
"2NDGWEOe",0.612083983208476,0.579821230209876,1.89655297887867,-0.720492065538007,-0.740711890407442
"2NyyCiqn",-0.279629865399031,-0.207436072571795,-0.13373010352396,-0.427403319191898,0.606624529326932
"2QRzIb84",0.312457186076333,0.844584414361765,2.24717045387015,-0.412311364071039,0.313681966161708
"2QcbdrUZ",-0.322641107029643,0.333232203087811,0.31955131915431,-0.551482119381631,0.671568330564056
"2YgAimWK",-0.373255235408628,0.0981499263615307,0.179267650366398,-0.580886144000891,1.08669001231275
"2cx85d9H",0.114433987348576,-0.442269429682654,0.154604177919336,0.253734425418535,-1.00404904200625
"2homMXMV",-0.420320428917568,-0.153417302402105,-1.13530042918368,-0.170200161093891,0.162840332724283
"2ldLrUtq",-0.422693456787422,-0.293775151606059,0.282462269899981,-0.214863896879704,-0.131102769973031
"2nsACW6G",-0.0974141171063206,0.115010750922418,-0.237794620949645,0.626627370176802,-0.795092628011605
"2yMbVnWc",-0.365882538315262,0.419981393137777,-1.36531475988938,1.36718419252978,0.945184963878746
"36r8sgGQ",-0.389974498761745,-0.111099964995603,-0.166307620376595,-0.615504044055297,0.615559064710917
"3NXAXCl3",-0.423688668169584,-0.296859501663396,-1.0575451275105,0.453550285553106,-0.998955238478189
